,cluster_no,pair_1,pair_2
0,9,PSC,RNSC
1,9,PSC,XSHQ
2,9,RNSC,SMCP
3,9,RNSC,XSHQ
4,1,DGS,FYC
5,1,DGS,IJT
6,1,DGS,IWO
7,1,DGS,SLYG
8,1,GSSC,SMLF
9,1,GSSC,USVM
10,1,IJT,SLYG
11,1,IWM,VTWO
12,1,IWO,VTWG
13,1,JHSC,NUSC
14,1,JHSC,SCHA
15,1,NUSC,SCHA
16,1,NUSC,SMLF
17,6,CALF,EES
18,6,CALF,EWSC
19,6,CALF,FYT
20,6,CSA,CSB
21,6,CSA,DGRS
22,6,CSA,FNDA
23,6,CSA,OMFS
24,6,CSA,SLYV
25,6,CSB,DGRS
26,6,CSB,OMFS
27,6,CSB,SMLV
28,6,DES,FYT
29,6,DGRS,OMFS
30,6,EES,EWSC
31,6,EWSC,SLYV
32,6,EWSC,XSHD
33,6,FNDA,OMFS
34,6,FYT,IWN
35,6,IJS,SLYV
36,6,IWN,SLYV
37,6,IWN,VTWV
38,6,JKJ,OMFS
39,6,JKL,RZV
40,6,OMFS,OUSM
41,6,OMFS,SMLV
42,6,OMFS,XSLV
43,6,OUSM,SMLV
44,6,RWJ,RZV
45,6,SLYV,VTWV
46,6,SMLV,XSLV
